CodeJeu|NomJeu|DateAchat|Emplacement|Marque|Annee_Edition|NbJoueurs|AgeJoueurs|Manque|TypeJeu|NbPieces|TempsJeu|EtatJeu|Descriptif1|Descriptif2|Descriptif3|LienImg|Commentaire|NbPoints|NiveauJeu|Classification|PrixEstimé|Auteur|Illustrateur|SurPlace|Contenu1|Contenu2
1|1,2,3 je compte|25/05/2012|||||||6 mathématiques|0||||||C:\Ludopret\Annexes\Images\1  1,2,3 je compte.PNG||1|||0|||N||
10|ANIMAUX A LACER|27/05/2012|||||||1 motricité fine encast puzzle|0||||||C:\Ludopret\Annexes\Images\10 inventions qui ont changé l'histoire.png||1|||0|||N||
100|DECLIC MAI-JUIN 2012|27/05/2012||||||||0||||||C:\Ludopret\Annexes\Images\100 Déclic mai-juin 2012.PNG||1|||0|||N||
1000|Sami sous la pluie|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1000 Sami sous la pluie.PNG||1|||0|||N||
1001|Sami a des poux|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1001 Sami a des poux.PNG||1|||0|||N||
1002|L'amoureux de Julie|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1002 L'amoureux de Julie.PNG||1|||0|||N||
1003|Le château|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1003 Le château.PNG||1|||0|||N||
1004| N'aie pas peur petit Koala|22/02/2017||livre||||||1|||Les animaux de Lou| | |C:\Ludopret\Annexes\Images\1004 N'aie pas peur petit Koala.PNG||1|||0|||N||
1005|Reviens Petit lapin|22/02/2017||livre||||||1|||Les animaux de Lou| | |C:\Ludopret\Annexes\Images\1005 Reviens petit lapin.PNG||1|||0|||N||
1006|Sauve-toi Petit Tigre|22/02/2017||livre||||||1|||Les animaux de Lou| | |C:\Ludopret\Annexes\Images\1006 Sauve-toi petit tigre.PNG||1|||0|||N||
1007|Ici, super Juju|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1007 Ici, super Juju.PNG||1|||0|||N||
1008|Nico Comme une grenouille|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1008 Comme une grenouille.PNG||1|||0|||N||
1009|Nico, J'ai 30 ans dans mon verre|22/02/2017||livre||||||1||||||C:\Ludopret\Annexes\Images\1009 J'ai 30 ans dans mon verre.PNG||1|||0|||N||
101|DICO-MATIK|27/05/2012|||||||6 mathématiques|0||||||C:\Ludopret\Annexes\Images\101 Dico-matik.PNG||1|||0|||N||
1010|L'ombre qui tue|22/02/2017||BD||||||1||||||C:\Ludopret\Annexes\Images\1010 L'ombre qui tue.PNG||1|||0|||N||
1011|A la vie, à la mort|22/02/2017||BD||||||1||||||C:\Ludopret\Annexes\Images\1011 A la vie, à la mort.PNG||1|||0|||N||
1012|Passé recomposé|22/02/2017||BD||||||1||||||C:\Ludopret\Annexes\Images\1012 Passé recomposé.PNG||1|||0|||N||
1013|La guerre des Lulus, la maison des enfants trouvés|22/02/2017||BD||||||1||||||C:\Ludopret\Annexes\Images\1013 La maison des enfants trouvés.PNG||1|||0|||N||
