CodeJeu|NomJeu|DateAchat|AnneeAchat|PrixAchat|PrixEstime|NomFournisseur
1|1,2,3 je compte|25/05/2012|2012|0|0|
10|ANIMAUX A LACER|27/05/2012|2012|0|0|
100|DECLIC MAI-JUIN 2012|27/05/2012|2012|0|0|
1000|Sami sous la pluie|22/02/2017|2017|0|0|
1001|Sami a des poux|22/02/2017|2017|0|0|
1002|L'amoureux de Julie|22/02/2017|2017|0|0|
1003|Le château|22/02/2017|2017|0|0|
1004| N'aie pas peur petit Koala|22/02/2017|2017|0|0|
1005|Reviens Petit lapin|22/02/2017|2017|0|0|
1006|Sauve-toi Petit Tigre|22/02/2017|2017|0|0|
1007|Ici, super Juju|22/02/2017|2017|0|0|
1008|Nico Comme une grenouille|22/02/2017|2017|0|0|
1009|Nico, J'ai 30 ans dans mon verre|22/02/2017|2017|0|0|
101|DICO-MATIK|27/05/2012|2012|0|0|
1010|L'ombre qui tue|22/02/2017|2017|0|0|
1011|A la vie, à la mort|22/02/2017|2017|0|0|
1012|Passé recomposé|22/02/2017|2017|0|0|
1013|La guerre des Lulus, la maison des enfants trouvés|22/02/2017|2017|0|0|
1014|La guerre des Lulus, Hans|22/02/2017|2017|0|0|
1015|Le Petit Nicolas|22/02/2017|2017|23|0|
1016|L'omelette au sucre|22/02/2017|2017|23|0|
1017|Harry Potter 1 à l'école des sorciers|22/02/2017|2017|35|0|
1018|Harry Potter et la chambre des secrets n° 2|22/02/2017|2017|37|0|
1019|Harry potter et le prisonnier d'Azkaban n°4|22/02/2017|2017|42|0|
102|DOMINOS MICKEY|27/05/2012|2012|0|0|
1020|Harry potter et la coupe de feu n°3|22/02/2017|2017|45|0|
1021|Le coffret écriture lecture, des graphèmes rugueux|24/02/2017|2017|0|0|
1022|Times tables|24/02/2017|2017|0|0|
1023|Plus Plus mini néon|24/02/2017|2017|0|0|
1024|Plus plus mini basic|24/02/2017|2017|0|0|
1025|Calculodingo|24/02/2017|2017|0|0|
1026|Les tables d'addition|24/02/2017|2017|0|0|
1027|Les tables de multiplication|24/02/2017|2017|0|0|
1028|Additions et soustractions|24/02/2017|2017|0|0|
1029|Troc chez  le chef indien|24/02/2017|2017|0|0|
103|DVD AUTISME ET APPRENTISSAGES|27/05/2012|2012|0|0|
1030|Ma journée|24/02/2017|2017|0|0|
1031|Le jeu de l'arbre|24/02/2017|2017|0|0|
1032|Ze Géoanimo|24/02/2017|2017|0|0|
1033|Space truck|24/02/2017|2017|0|0|
1034|Mini cubes véhicules|24/02/2017|2017|0|0|
1035|Minis cubes dinosauris|24/02/2017|2017|0|0|
1036|Kapla|24/02/2017|2017|0|0|
1037|Planche à bascule Whizzy Dizzy|23/09/2017|2017|0|0|
1038|Décisions|23/09/2017|2017|0|0|
1039|conversations en bande dessinée|23/09/2017|2017|0|0|
104|Livre formes et motifs Casterman|27/05/2012|2012|0|5|
1040|Encastrements géants|23/09/2017|2017|0|0|
1041|Planche à loquets|23/09/2017|2017|0|0|
1042|Kit Scogym Tactik|24/09/2017|2017|0|0|
1043|Tonneau orange|24/09/2017|2017|0|0|
1044|Cylindre Vert|24/09/2017|2017|0|0|
1045|Grande pente bleue|24/09/2017|2017|0|0|
1046|Grande roue bleue|24/09/2017|2017|0|0|
1047|Encastrement en U et demi cube|24/09/2017|2017|0|0|
1048|Trois marches rouges|24/09/2017|2017|0|0|
1049|Socles rouges pour la grande roue|24/09/2017|2017|0|0|
105|EMPILAGE GEOMETRIQUE|27/05/2012|2012|0|0|
1050|guide d'utilisation bloc module serpentin|24/09/2017|2017|0|0|
1051|Kit explor'action|26/09/2017|2017|0|0|
1052|Funny Electonic Kit|13/02/2018|2018|0|0|
1053|Straw Tastic|13/02/2018|2018|0|0|
1054|Find nix|13/02/2018|2018|0|0|
1055|La chasse aux fantomes 1|13/02/2018|2018|0|0|
1056|Nini l'ourson|13/02/2018|2018|0|0|
1057|La chasse aux fantomes 2|13/02/2018|2018|0|0|
1058|Calculs en herbes|13/02/2018|2018|0|0|
1059|Qui ? Quoi ?|13/02/2018|2018|0|0|
106|ENCASTREMENT ALPHABET|27/05/2012|2012|0|0|
1060|Mobile Medical Kit|13/03/2018|2018|0|0|
1061|Le jeu du calcul mental|13/03/2018|2018|9,5|0|
1062|Multiplipotion|07/04/2018|2018|12,9|0|
1063|Learning wrap ups soustractions|17/03/2018|2018|0|0|
1064|Learning wrap ups multiplications|17/03/2018|2018|0|0|
1065|Triominos de luxe|17/03/2018|2018|0|0|
1066|Rummy Academy|18/03/2018|2018|0|0|
1067|Rummy voyage|18/03/2018|2018|0|0|
1068|Mon alphabet mobile Montessori|18/03/2018|2018|0|0|
1069|Le grand imagier Montessori des sons et graphèmes|18/03/2018|2018|0|0|
107|ENCASTREMENT J'APPRENDS LES HAUTEURS|27/05/2012|2012|0|0|
1070|Les chiffres rugueux Montessori|18/03/2018|2018|19,9|0|
1071|Le coffret écriture-lecture Montessori de Baltazar|18/03/2018|2018|22,9|0|
1072|Vocabulon es petits|18/03/2018|2018|24,95|0|
1073|Le Prince de Motordu|18/03/2018|2018|10|0|
1074|Le jeu du Prince de Motordu|18/03/2018|2018|33|0|
1075|Quatrimino des Alphas|18/03/2018|2018|32,9|0|
1076|Scrabble junior|18/03/2018|2018|29,5|0|
1077|L'imagier du Père Castor|18/03/2018|2018|22,5|0|
1078|Bla bla bla|18/03/2018|2018|18,5|0|
1079|L'alphabet magique|18/03/2018|2018|9,9|0|
108|ENCASTREMENT LA CAMPAGNE|27/05/2012|2012|0|0|
1080|Jeux pour bien vivre ensemble|18/03/2018|2018|0|0|
1081|Je suis en CP|18/03/2018|2018|0|0|
1082|Les Alphas mes premières lectures - tome 2|18/03/2018|2018|14,9|0|
1083|Petit Tom au pays de Serena avec CD audio|18/03/2018|2018|14,9|0|
1084|ARCHITECTO|01/04/2018|2018|0|0|
1085|Pagodes|01/04/2018|2018|0|0|
1086|Au voleur|01/04/2018|2018|0|0|
